page,text,font_name,font_size,style,color_rgb,color_hex,bbox
24,"Former Head, Deptt. of Sanskrit, M.D.U. Rohtak ",Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(249.4600067138672, 224.3686981201172, 448.1299743652344, 235.52725219726562)"
24,6. ,"Times New Roman,Bold",10.08,bold,"(0, 0, 0)",#000000,"(120.05000305175781, 248.1287078857422, 130.00999450683594, 259.2872619628906)"
24,Prof. ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(146.69000244140625, 247.8887176513672, 168.8760986328125, 259.0472717285156)"
24,Shashiprabha ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(184.82266235351562, 247.8887176513672, 241.03883361816406, 259.0472717285156)"
24,Kumar ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(146.69000244140625, 259.1686706542969, 177.07000732421875, 270.3272399902344)"
24,"Former Vice-Chancellor, Sanchi University of Buddhist-",Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(249.4600067138672, 247.8887176513672, 483.546630859375, 259.0472717285156)"
24,"Indic   Studies, Sanchi, MP ",Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(249.4600067138672, 259.1686706542969, 361.2200012207031, 270.3272399902344)"
24,7. ,"Times New Roman,Bold",10.08,bold,"(0, 0, 0)",#000000,"(120.05000305175781, 271.4086608886719, 130.00999450683594, 282.5672302246094)"
24,Prof. Sudha Jain ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(146.69000244140625, 271.1686706542969, 214.99000549316406, 282.3272399902344)"
24,"Former Head, Deptt. of Sanskrit, M.D.U., Rohtak ",Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(249.4600067138672, 271.1686706542969, 450.5299987792969, 282.3272399902344)"
24,8. ,"Times New Roman,Bold",10.08,bold,"(0, 0, 0)",#000000,"(120.05000305175781, 289.4086608886719, 130.00999450683594, 300.5672302246094)"
24,Dr. Anula Maurya ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(146.69000244140625, 289.1686706542969, 222.94000244140625, 300.3272399902344)"
24,"Principal, Kalindi College (in present) ",Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(249.4600067138672, 289.1686706542969, 404.8999938964844, 300.3272399902344)"
24,9. ,"Times New Roman,Bold",10.08,bold,"(0, 0, 0)",#000000,"(120.05000305175781, 307.1986999511719, 130.00999450683594, 318.3572692871094)"
